mode;car_cost;car_time;car_ok;pass_cost;pass_time;pass_ok;bus_cost;bus_g_time;bus_w_time;bus_time;bus_ok;train_cost;train_g_time;train_w_time;train_time;train_ok;walk_time;walk_ok;bike_time;bike_ok;id
1;4;8.99;1;4;8.99;1;0;0;0;0;0;0;0;0;0;0;45.29;1;22.07;1;71
6;2.89;14.28;1;2.89;14.28;1;18.2;22.72;11.38;8.47;1;0;0;0;0;0;35.24;1;17.23;1;72
2;2.17;16.03;1;2.17;16.03;1;0;0;0;0;0;0;0;0;0;0;37.65;1;18.32;1;73
5;4.62;3.97;1;4.62;3.97;1;13.34;13.63;7.81;6.74;1;0;0;0;0;0;27.32;1;12.23;1;74
2;6.22;4.58;1;6.22;4.58;1;0;0;0;0;0;0;0;0;0;0;40.6;1;18.29;1;75
2;7.38;35.58;1;7.38;35.58;1;0;0;0;0;0;0;0;0;0;0;94.97;1;43.1;1;76
2;24.4;85.95;1;24.4;85.95;1;0;0;0;0;0;95.74;96.26;120.07;89.41;1;0;0;0;0;77
1;49.11;83.82;1;49.11;83.82;1;19.1;14.47;25.28;50.22;1;0;0;0;0;0;326.07;1;148.36;1;78
1;9.08;14.68;1;9.08;14.68;1;0;0;0;0;0;0;0;0;0;0;57.97;1;27.3;1;79
1;13.11;13.64;1;13.11;13.64;1;17.54;15.13;23;21.81;1;0;0;0;0;0;86.89;1;39.47;1;80
2;10.55;12.04;1;10.55;12.04;1;19.83;50.23;30.46;21.09;1;0;0;0;0;0;131.87;1;61.16;1;81
6;11.61;8.92;1;11.61;8.92;1;0;0;0;0;0;0;0;0;0;0;72.86;1;36.39;1;82
1;1.32;9.68;1;1.32;9.68;1;0;0;0;0;0;0;0;0;0;0;19.33;1;8.83;1;83
1;26.96;38.5;1;26.96;38.5;1;54.38;101.23;91.04;49.28;1;0;0;0;0;0;359.89;1;167.05;1;84
1;22.91;42.32;1;22.91;42.32;1;20.08;15.65;13.18;10.72;1;0;0;0;0;0;144.6;1;69.89;1;85
1;21.04;15.28;1;21.04;15.28;1;26.84;69.01;23.89;25.1;1;0;0;0;0;0;132.24;1;61.72;1;86
4;32.67;40.58;1;32.67;40.58;1;19.57;14.05;56.71;63.79;1;19.58;16.92;30.06;28.41;1;209.04;1;96.82;1;87
6;25.17;23.82;1;25.17;23.82;1;33.33;59.81;60.13;12.74;1;0;0;0;0;0;163.51;1;79.55;1;88
6;7.12;7.64;1;7.12;7.64;1;0;0;0;0;0;0;0;0;0;0;47.99;1;21.14;1;89
3;40.38;61.89;1;40.38;61.89;1;19.63;14.8;15.12;59.68;1;19.95;17.82;14.8;34.45;1;261.17;1;117.64;1;90
2;88.75;149.63;1;88.75;149.63;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91
1;47.49;100.51;1;47.49;100.51;1;0;0;0;0;0;0;0;0;0;0;0;0;619.88;1;92
1;86.91;113.73;1;86.91;113.73;1;348.94;58.42;165.41;291.82;1;349.17;39.45;82.32;204.05;1;0;0;514.44;1;93
1;19.34;12.16;1;19.34;12.16;1;27.7;45.52;58.39;29.74;1;0;0;0;0;0;126;1;61.83;1;94
1;33.69;43.33;1;33.69;43.33;1;46.19;93.4;53.99;134.48;1;46.52;101.95;53.17;120.56;1;429.84;1;202.39;1;95
4;70.28;97.79;1;70.28;97.79;1;40.35;22.21;92.39;219.39;1;40.76;30.97;91.68;126.23;1;819.59;1;386.87;1;96
1;29.96;17.95;1;29.96;17.95;1;25.39;16.05;25.75;28.32;1;0;0;0;0;0;193.26;1;90.89;1;97
1;9.8;20.12;1;9.8;20.12;1;0;0;0;0;0;0;0;0;0;0;60.91;1;29.02;1;98
1;13.06;9.01;1;13.06;9.01;1;0;0;0;0;0;0;0;0;0;0;81.04;1;37.71;1;99
6;3.88;3.67;1;3.88;3.67;1;0;0;0;0;0;0;0;0;0;0;23.61;1;10.9;1;100
1;15.82;13.74;1;15.82;13.74;1;20.42;112.91;16.24;5.66;1;0;0;0;0;0;102.16;1;48.83;1;101
1;13.04;9.3;1;13.04;9.3;1;0;0;0;0;0;0;0;0;0;0;83.9;1;38.53;1;102
1;40.31;28.54;1;40.31;28.54;1;26.8;121.18;31.02;45.23;1;0;0;0;0;0;342.37;1;158.51;1;103
1;41.41;46.91;1;41.41;46.91;1;19.77;25.02;11.99;47.17;1;0;0;0;0;0;259.33;1;121.71;1;104
3;3.04;37.8;1;3.04;37.8;1;20.46;13.93;3.28;12.17;1;0;0;0;0;0;55.81;1;26.83;1;105
3;89.95;115.26;1;89.95;115.26;1;20.33;28.83;45.44;126.55;1;0;0;0;0;0;0;0;364.13;1;106
2;157.83;165.25;1;157.83;165.25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107
1;23.15;33.23;1;23.15;33.23;1;0;0;0;0;0;0;0;0;0;0;161.34;1;75.21;1;108
1;1.97;5.86;1;1.97;5.86;1;19.8;33.81;20.25;7.1;1;0;0;0;0;0;33.01;1;15.22;1;109
1;23.31;13.96;1;23.31;13.96;1;19.73;89.06;74.12;5.77;1;0;0;0;0;0;155.83;1;71.25;1;110
1;12.28;29.01;1;12.28;29.01;1;19.64;67.48;31.12;8.44;1;0;0;0;0;0;149.27;1;70.49;1;111
1;7.2;19.31;1;7.2;19.31;1;0;0;0;0;0;0;0;0;0;0;47.06;1;21.64;1;112
6;3.27;2.6;1;3.27;2.6;1;0;0;0;0;0;0;0;0;0;0;19.32;1;9.67;1;113
1;25.04;19.64;1;25.04;19.64;1;38.13;29.53;20.17;41.8;1;0;0;0;0;0;143.33;1;68.98;1;114
6;1.59;1.68;1;1.59;1.68;1;0;0;0;0;0;0;0;0;0;0;7.29;1;3.8;1;115
1;44.31;53.15;1;44.31;53.15;1;23.62;64.06;67.68;90.46;1;0;0;0;0;0;412.58;1;194.74;1;116
2;0.94;2.02;1;0.94;2.02;1;0;0;0;0;0;0;0;0;0;0;6.25;1;3.04;1;117
1;4.12;2.34;1;4.12;2.34;1;0;0;0;0;0;0;0;0;0;0;21.01;1;10.12;1;118
1;309.52;311.76;1;309.52;311.76;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119
1;5.65;14.12;1;5.65;14.12;1;19.88;30.79;23.6;6.81;1;0;0;0;0;0;32.21;1;16.33;1;120
1;154.5;80.78;1;154.5;80.78;1;0;0;0;0;0;64.71;149.57;315.68;180.06;1;0;0;479.7;1;121
4;138.4;173.86;1;138.4;173.86;1;0;0;0;0;0;54.41;30.17;53.17;169.7;1;0;0;0;0;122
1;17.84;11.89;1;17.84;11.89;1;28.1;70.87;39.11;9.45;1;0;0;0;0;0;114.19;1;53.15;1;123
3;12.1;45.77;1;12.1;45.77;1;19.96;14.81;9.37;34.68;1;0;0;0;0;0;76.85;1;37.2;1;124
1;11.38;21.21;1;11.38;21.21;1;23.42;31.52;23.84;31.82;1;0;0;0;0;0;138.85;1;65.98;1;125
1;52.45;49.62;1;52.45;49.62;1;47.14;209.43;87.97;79.71;1;0;0;0;0;0;407.6;1;196.82;1;126
1;79.43;46.65;1;79.43;46.65;1;36.76;415.92;197.68;82.6;1;35.69;47.03;204.52;74.82;1;578.86;1;279.16;1;127
1;7.05;6.21;1;7.05;6.21;1;0;0;0;0;0;0;0;0;0;0;44.71;1;21.56;1;128
1;81.71;94.48;1;81.71;94.48;1;19.6;39.13;83.42;101.02;1;0;0;0;0;0;0;0;336.17;1;129
1;13.35;10.18;1;13.35;10.18;1;0;0;0;0;0;0;0;0;0;0;89.08;1;41.61;1;130
1;21.67;18.21;1;21.67;18.21;1;8.14;45.4;39.67;57.42;1;0;0;0;0;0;138.88;1;64.45;1;131
1;23.98;23.04;1;23.98;23.04;1;19.54;27.54;17.52;50.69;1;0;0;0;0;0;151.31;1;73.7;1;132
1;36.79;25.36;1;36.79;25.36;1;23.73;139.64;60.45;20.55;1;0;0;0;0;0;275.42;1;125.34;1;133
2;3.85;14.43;1;3.85;14.43;1;0;0;0;0;0;0;0;0;0;0;40.74;1;18.99;1;134
3;110.66;58.45;1;110.66;58.45;1;75.01;131.18;138.6;89.96;1;0;0;0;0;0;0;0;329.08;1;135
1;13.15;11.2;1;13.15;11.2;1;0;0;0;0;0;0;0;0;0;0;88.18;1;41.07;1;136
1;42.83;32.03;1;42.83;32.03;1;34.49;10.93;15.95;21.52;1;0;0;0;0;0;287.63;1;135.87;1;137
1;16.82;28.23;1;16.82;28.23;1;47.18;20.46;35.73;41.55;1;0;0;0;0;0;310.27;1;148.5;1;138
1;3.84;7.35;1;3.84;7.35;1;0;0;0;0;0;0;0;0;0;0;23.62;1;11.25;1;139
1;15.8;19.09;1;15.8;19.09;1;27.4;24.45;23.8;29.43;1;0;0;0;0;0;97.18;1;46.07;1;140
1;7.83;14.64;1;7.83;14.64;1;0;0;0;0;0;0;0;0;0;0;45.85;1;21.09;1;141
1;18.42;22.3;1;18.42;22.3;1;0;0;0;0;0;0;0;0;0;0;244;1;109.28;1;142
1;0.89;4.96;1;0.89;4.96;1;0;0;0;0;0;0;0;0;0;0;5.92;1;2.99;1;143
6;2.64;7.12;1;2.64;7.12;1;0;0;0;0;0;0;0;0;0;0;37.64;1;17.54;1;144
2;90.19;88.75;1;90.19;88.75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145
1;62.66;35.63;1;62.66;35.63;1;74.38;92.42;222.81;57.12;1;72.76;102.1;268.38;54.53;1;401.24;1;186.34;1;146
1;35.71;66.06;1;35.71;66.06;1;0;0;0;0;0;0;0;0;0;0;0;0;330.17;1;147
1;91.54;62.59;1;91.54;62.59;1;0;0;0;0;0;0;0;0;0;0;0;0;265.58;1;148
1;48.85;51.07;1;48.85;51.07;1;23.49;249.4;44.76;59.88;1;0;0;0;0;0;373.61;1;172.3;1;149
